human	bakers	score
Q9UJJ7	P53294	0.024954881050041015
Q9Y5K8	P32610	0.07809680065627564
Q6GTS8	P0C155	0.05873666940114848
Q03154	P0C155	0.022559474979491387
Q5QNW6	P02294	0.05939294503691551
P62807	P02294	0.05873666940114848
Q93079	P02294	0.05873666940114848
Q16778	P02294	0.05873666940114848
P23527	P02294	0.05873666940114848
O60814	P02294	0.05840853158326497
Q99877	P02294	0.05808039376538146
P06899	P02294	0.05808039376538146
P58876	P02294	0.05808039376538146
P33778	P02294	0.05808039376538146
Q99880	P02294	0.05808039376538146
Q99879	P02294	0.05742411812961444
P57053	P02294	0.05742411812961444
Q96A08	P02294	0.05611156685808039
Q8N257	P02294	0.055291222313371614
Q6DN03	P02294	0.03839212469237079
Q7Z2G1	P02294	0.031862182116488925
P62826	P32836	0.11977030352748154
Q15771	P32836	0.03675143560295324
P51149	P32836	0.035767022149302705
P51148	P32836	0.034782608695652174
Q86YS6	P32836	0.034782608695652174
P61026	P32836	0.034454470877768664
Q15286	P32836	0.034454470877768664
P51153	P32836	0.034454470877768664
P51151	P32836	0.034126333059885154
P20339	P32836	0.034126333059885154
Q9H0U4	P32836	0.034126333059885154
A4D1S5	P32836	0.034126333059885154
P61020	P32836	0.033798195242001644
Q92928	P32836	0.033798195242001644
Q15907	P32836	0.033798195242001644
Q9NP90	P32836	0.03347005742411813
Q9ULC3	P32836	0.033798195242001644
P20338	P32836	0.03347005742411813
P62820	P32836	0.03347005742411813
P61018	P32836	0.03347005742411813
Q9NP72	P32836	0.03278096800656276
P62491	P32836	0.03281378178835111
P61006	P32836	0.032616899097621
Q9UL25	P32836	0.03228876127973749
Q96E17	P32836	0.03222313371616079
Q92930	P32836	0.031862182116488925
Q96AX2	P32836	0.03159967186218211
P20336	P32836	0.031205906480721902
P61106	P32836	0.03097621000820345
Q9UNT1	P32836	0.03097621000820345
Q9UBK7	P32836	0.03097621000820345
O00194	P32836	0.03084495488105004
Q9NRW1	P32836	0.030713699753896633
P61019	P32836	0.030582444626743234
Q8WUD1	P32836	0.030582444626743234
O14966	P32836	0.030451189499589828
P59190	P32836	0.03089417555373257
P51159	P32836	0.030319934372436425
Q96AH8	P32836	0.030090237899917965
P20337	P32836	0.02995898277276456
P20340	P32836	0.02982772764561116
Q9ULW5	P32836	0.030090237899917965
O95716	P32836	0.029499589827727647
Q14088	P32836	0.029204265791632485
P57735	P32836	0.02867924528301887
Q9H082	P32836	0.02867924528301887
Q9BSW2	P32836	0.02963084495488105
Q6IQ22	P32836	0.028383921246923707
O00212	P32836	0.02792452830188679
Q96DA2	P32836	0.02792452830188679
Q8IZ41	P32836	0.02900738310090238
Q13637	P32836	0.027612797374897458
Q9HBH0	P32836	0.026907301066447908
Q9H0T7	P32836	0.0267760459392945
P62834	P32836	0.026480721903199344
P11233	P32836	0.02654634946677605
Q53S08	P32836	0.026907301066447908
P57729	P32836	0.026677604593929448
Q9UL26	P32836	0.026415094339622643
O95755	P32836	0.027301066447908123
Q9H0N0	P32836	0.0267760459392945
P61224	P32836	0.026152584085315834
Q5JT25	P32836	0.026415094339622643
P11234	P32836	0.025906480721903196
Q92963	P32836	0.026021328958162428
P84095	P32836	0.02552912223133716
A6NIZ1	P32836	0.025135356849876948
Q13636	P32836	0.025135356849876948
Q9Y272	P32836	0.025135356849876948
P0C0E4	P32836	0.02464315012305168
Q96S21	P32836	0.02457752255947498
Q14964	P32836	0.024150943396226414
P63000	P32836	0.02401968826907301
Q8WXH6	P32836	0.02438063986874487
P08134	P32836	0.023888433141919605
P15153	P32836	0.023888433141919605
P61586	P32836	0.023757178014766202
P62745	P32836	0.023264971287940937
Q96D21	P32836	0.023625922887612796
P60763	P32836	0.02324856439704676
Q9BZG1	P32836	0.02349466776045939
P51157	P32836	0.02313371616078753
Q12829	P32836	0.02336341263330599
Q9NZQ0	P32836	0.02313371616078753
P10301	P32836	0.02495488105004102
Q9H4E5	P32836	0.021985233798195242
P62070	P32836	0.023625922887612796
Q7L0Q8	P32836	0.021673502871205907
Q969Q5	P32836	0.022231337161607877
Q7Z6P3	P32836	0.02129614438063987
O14807	P32836	0.023691550451189494
P01112	P32836	0.022625102543068088
P01116	P32836	0.022165709598031175
Q9Y3L5	P32836	0.022543068088597205
P61225	P32836	0.021985233798195242
P0CB38	P38922	0.024954881050041015
Q13310	P38922	0.02395406070549631
Q08170	P38922	0.02211648892534865
Q13247	P38922	0.023068088597210826
Q13243	P38922	0.021919606234618545
Q9NW13	P38922	0.021739130434782608
Q4VXU2	P38922	0.021542247744052504
P11940	P38922	0.021099261689909762
P52272	P38922	0.020902378999179655
P25398	P48589	0.03789991796554553
P62701	P0CX36	0.13223954060705495
Q8WWM7	P53297	0.022182116488925346
O75914	Q12469	0.11123872026251025
Q13153	Q12469	0.1125512715340443
Q13177	Q12469	0.10943396226415095
Q13177	Q12469	0.06931911402789172
O96013	Q12469	0.07940935192780968
Q9P286	Q12469	0.0782608695652174
Q9NQU5	Q12469	0.07448728465955701
Q13043	Q12469	0.06529942575881871
Q13188	Q12469	0.0649712879409352
Q9Y6E0	Q12469	0.06283839212469237
Q9P289	Q12469	0.06168990976210008
O00506	Q12469	0.06152584085315833
Q9Y4K4	Q12469	0.06168990976210008
Q8IVH8	Q12469	0.06136177194421657
Q9UKE5	Q12469	0.05972108285479902
Q8N4C8	Q12469	0.06021328958162428
Q12851	Q12469	0.05873666940114848
Q8NEV4	Q12469	0.05775225594749795
Q9H2G2	Q12469	0.05709598031173093
Q92918	Q12469	0.05676784249384741
O95747	Q12469	0.054470877768662836
O95819	Q12469	0.05709598031173093
Q8WXR4	Q12469	0.05512715340442986
Q9UEW8	Q12469	0.053158326497128795
Q7Z2Y5	Q12469	0.052830188679245285
O94804	Q12469	0.052502050861361775
Q9UL54	Q12469	0.05151763740771124
Q7L7X3	Q12469	0.05151763740771124
Q9H2K8	Q12469	0.0502050861361772
Q99759	Q12469	0.044954881050041015
Q99683	Q12469	0.044954881050041015
Q9Y2U5	Q12469	0.043642329778506975
Q6ZN16	Q12469	0.04298605414273995
P17612	Q12469	0.04068908941755537
P22612	Q12469	0.04036095159967186
P22694	Q12469	0.04003281378178835
O95382	Q12469	0.04167350287120591
Q9H4B4	Q12469	0.04068908941755537
Q9NRP7	Q12469	0.04036095159967186
P51817	Q12469	0.03773584905660377
Q6P3R8	Q12469	0.03904840032813782
Q9UQB9	Q12469	0.03675143560295324
P23443	Q12469	0.03822805578342904
Q9Y6R4	Q12469	0.03855619360131255
P05129	Q12469	0.03839212469237079
O43930	Q12469	0.03625922887612797
P41279	Q12469	0.03740771123872026
Q12852	Q12469	0.03789991796554553
Q9NYY3	Q12469	0.03822805578342904
O14965	Q12469	0.03675143560295324
Q9HBY8	Q12469	0.03658736669401148
Q15418	Q12469	0.03773584905660377
Q15418	Q12469	0.03484823625922888
Q15418	Q12469	0.03484823625922888
Q15418	Q12469	0.03196062346185398
Q96BR1	Q12469	0.03675143560295324
P17252	Q12469	0.03707957342083675
Q15139	Q12469	0.03691550451189499
P53667	Q12469	0.03675143560295324
P53671	Q12469	0.03658736669401148
P27448	Q12469	0.03658736669401148
Q7KZI7	Q12469	0.03642329778506973
Q96L34	Q12469	0.03642329778506973
Q9BYT3	Q12469	0.03609515996718622
Q8N568	Q12469	0.03642329778506973
Q13976	Q12469	0.03609515996718622
Q9BZL6	Q12469	0.03593109105824446
Q15349	Q12469	0.03593109105824446
Q15349	Q12469	0.03304347826086956
Q15349	Q12469	0.03320754716981132
Q15349	Q12469	0.030319934372436425
O94806	Q12469	0.03609515996718622
P51957	Q12469	0.03593109105824446
O43283	Q12469	0.035767022149302705
Q8IYT8	Q12469	0.03642329778506973
P53350	Q12469	0.035438884331419195
P31751	Q12469	0.035110746513535684
P05771	Q12469	0.035438884331419195
O00141	Q12469	0.03494667760459393
Q04759	Q12469	0.035438884331419195
P51812	Q12469	0.035438884331419195
P51812	Q12469	0.032764561115668576
P51812	Q12469	0.032764561115668576
P51812	Q12469	0.030090237899917965
P45985	Q12469	0.034454470877768664
Q9UBS0	Q12469	0.034618539786710416
Q9HC98	Q12469	0.033798195242001644
Q9Y243	Q12469	0.034454470877768664
Q96PY6	Q12469	0.035110746513535684
Q9NRH2	Q12469	0.03494667760459393
Q15208	Q12469	0.034454470877768664
Q8TDX7	Q12469	0.03347005742411813
Q02156	Q12469	0.034782608695652174
O75385	Q12469	0.035767022149302705
Q9C098	Q12469	0.034454470877768664
P24723	Q12469	0.034454470877768664
P46734	Q12469	0.033634126333059886
Q9P0L2	Q12469	0.03560295324036095
Q9Y2H1	Q12469	0.033798195242001644
Q96NX5	Q12469	0.033798195242001644
Q86YV6	Q12469	0.03347005742411813
Q8IVW4	Q12469	0.034126333059885154
P51955	Q12469	0.033798195242001644
P31749	Q12469	0.033798195242001644
Q05655	Q12469	0.034126333059885154
Q13163	Q12469	0.03347005742411813
Q02750	Q12469	0.033634126333059886
P52564	Q12469	0.03281378178835111
P51956	Q12469	0.033634126333059886
Q05513	Q12469	0.033798195242001644
O15075	Q12469	0.033798195242001644
Q6PHR2	Q12469	0.03347005742411813
Q15569	Q12469	0.03347005742411813
O75582	Q12469	0.033634126333059886
O75582	Q12469	0.031205906480721902
O75582	Q12469	0.03136997538966366
O75582	Q12469	0.028941755537325677
Q9UK32	Q12469	0.03347005742411813
Q9UK32	Q12469	0.030828547990155865
Q9UK32	Q12469	0.030828547990155865
Q9UK32	Q12469	0.028187038556193603
O60307	Q12469	0.033634126333059886
Q15835	Q12469	0.033634126333059886
Q8NG66	Q12469	0.032977850697292865
Q9Y2H9	Q12469	0.03347005742411813
P36507	Q12469	0.032682526661197704
Q9H1R3	Q12469	0.03281378178835111
P24941	Q12469	0.031862182116488925
P11801	Q12469	0.0325512715340443
Q13237	Q12469	0.03281378178835111
Q96GD4	Q12469	0.03353568498769483
P15735	Q12469	0.03222313371616079
P41743	Q12469	0.0327481542247744
Q6P5Z2	Q12469	0.03560295324036095
Q9NYL2	Q12469	0.03278096800656276
Q16513	Q12469	0.03560295324036095
Q02779	Q12469	0.03278096800656276
Q16512	Q12469	0.03534044298605414
Q86SG6	Q12469	0.0324856439704676
O96017	Q12469	0.03222313371616079
Q6P0Q8	Q12469	0.03278096800656276
Q5MAI5	Q12469	0.03159967186218211
Q92772	Q12469	0.03196062346185398
O00444	Q12469	0.03235438884331419
Q16644	Q12469	0.031534044298605415
Q8TD19	Q12469	0.032223133716160784
Q13464	Q12469	0.03235438884331419
O15021	Q12469	0.03242001640689089
O14733	Q12469	0.0312715340442986
O15111	Q12469	0.031862182116488925
Q00532	Q12469	0.03097621000820345
O76039	Q12469	0.03191140278917145
O60285	Q12469	0.031730926989335516
Q9NWZ3	Q12469	0.031140278917145204
P41240	Q12469	0.0310746513535685
Q9H093	Q12469	0.031205906480721902
P80192	Q12469	0.03140278917145201
Q8N5S9	Q12469	0.03127153404429861
O75676	Q12469	0.0312715340442986
O75676	Q12469	0.028433141919606237
O75676	Q12469	0.02741591468416735
O75676	Q12469	0.02457752255947498
P27361	Q12469	0.03051681706316653
Q8IU85	Q12469	0.030582444626743234
O75116	Q12469	0.03140278917145201
P11362	Q12469	0.031205906480721902
Q9UQM7	Q12469	0.03084495488105004
Q00526	Q12469	0.02995898277276456
Q13233	Q12469	0.03133716160787531
P42679	Q12469	0.030713699753896633
P57058	Q12469	0.03097621000820345
Q16584	Q12469	0.030910582444626744
Q08881	Q12469	0.03084495488105004
P34947	Q12469	0.03084495488105004
Q96RR4	Q12469	0.03084495488105004
P42680	Q12469	0.030713699753896633
Q14680	Q12469	0.030713699753896633
O95835	Q12469	0.030910582444626744
P06493	Q12469	0.029565217391304344
Q96QS6	Q12469	0.030401968826907304
Q96S53	Q12469	0.030385561936013123
P15056	Q12469	0.030648072190319935
O14936	Q12469	0.030648072190319935
P04049	Q12469	0.03051681706316653
Q13557	Q12469	0.03018867924528302
P42681	Q12469	0.030090237899917965
P43250	Q12469	0.030959803117309267
Q32MK0	Q12469	0.03013945857260049
Q13555	Q12469	0.030090237899917965
P49137	Q12469	0.029893355209187858
Q13131	Q12469	0.030090237899917965
P28482	Q12469	0.029384741591468422
Q86UX6	Q12469	0.029696472518457754
P29317	Q12469	0.03013945857260049
Q14012	Q12469	0.02933552091878589
P10398	Q12469	0.02995898277276456
Q13554	Q12469	0.02982772764561116
Q6P2M8	Q12469	0.02907301066447908
O43318	Q12469	0.029893355209187858
P53778	Q12469	0.029204265791632485
P14616	Q12469	0.02995898277276456
Q9BYP7	Q12469	0.030090237899917965
Q06187	Q12469	0.029696472518457754
Q5VT25	Q12469	0.030024610336341264
Q16620	Q12469	0.029696472518457754
O60674	Q12469	0.029696472518457754
O15264	Q12469	0.028941755537325677
Q6A1A2	Q12469	0.029138638228055784
Q99558	Q12469	0.029696472518457754
O94768	Q12469	0.02881050041017227
P21802	Q12469	0.029565217391304344
O14920	Q12469	0.029433962264150945
Q14004	Q12469	0.029499589827727647
O15530	Q12469	0.029319114027891714
P51813	Q12469	0.02933552091878589
P00533	Q12469	0.029384741591468422
Q9Y2K2	Q12469	0.029204265791632485
Q16816	Q12469	0.028547990155865465
P29320	Q12469	0.029204265791632485
Q9BXA6	Q12469	0.02792452830188679
Q9UBE8	Q12469	0.02907301066447908
Q96J92	Q12469	0.029204265791632485
P52333	Q12469	0.029204265791632485
Q96PF2	Q12469	0.028318293683347005
Q96PN8	Q12469	0.027793273174733388
P54762	Q12469	0.029138638228055784
Q15375	Q12469	0.02907301066447908
Q8TDC3	Q12469	0.028941755537325677
Q9H4A3	Q12469	0.02900738310090238
O14757	Q12469	0.028547990155865465
Q9UEE5	Q12469	0.028318293683347005
Q8IZL9	Q12469	0.028055783429040197
P54764	Q12469	0.028876127973748975
Q6DT37	Q12469	0.028941755537325677
P54646	Q12469	0.028547990155865465
Q9Y5S2	Q12469	0.028876127973748975
P06239	Q12469	0.02844954881050041
P54756	Q12469	0.02867924528301887
Q15759	Q12469	0.027858900738310093
P08581	Q12469	0.028613617719442166
Q7RTN6	Q12469	0.028055783429040197
P53779	Q12469	0.0281214109926169
P06213	Q12469	0.028433141919606237
P45984	Q12469	0.027793273174733388
P25098	Q12469	0.028055783429040197
Q8IWQ3	Q12469	0.0281214109926169
P35626	Q12469	0.02792452830188679
P45983	Q12469	0.027612797374897458
Q9UIK4	Q12469	0.027301066447908123
Q13882	Q12469	0.02756357670221493
Q13546	Q12469	0.027858900738310093
O43293	Q12469	0.027366694011484824
Q8TD08	Q12469	0.027432321575061525
P22455	Q12469	0.027366694011484824
P51451	Q12469	0.027301066447908123
Q13164	Q12469	0.027432321575061525
Q15303	Q12469	0.02756357670221493
Q04912	Q12469	0.027432321575061525
P54760	Q12469	0.027432321575061525
Q00534	Q12469	0.02654634946677605
O14578	Q12469	0.027432321575061525
Q9NYV4	Q12469	0.02716981132075472
P12931	Q12469	0.026972928630024613
O94921	Q12469	0.026907301066447908
Q16539	Q12469	0.026415094339622643
O14976	Q12469	0.026972928630024613
Q9Y3S1	Q12469	0.026907301066447908
Q9BXA7	Q12469	0.026283839212469236
P00519	Q12469	0.026841673502871206
P29323	Q12469	0.0267760459392945
Q16832	Q12469	0.026611977030352747
Q9H0K1	Q12469	0.026480721903199344
P08631	Q12469	0.026283839212469236
P07948	Q12469	0.026283839212469236
Q15831	Q12469	0.02615258408531583
Q5TCX8	Q12469	0.02830188679245283
Q16566	Q12469	0.02608695652173913
Q15131	Q12469	0.02610336341263331
Q96Q40	Q12469	0.025922887612797374
Q8WZ42	Q12469	0.026415094339622643
P42685	Q12469	0.025922887612797374
P50613	Q12469	0.02552912223133716
P29597	Q12469	0.026152584085315834
Q09013	Q12469	0.02685808039376538
P04626	Q12469	0.026021328958162428
Q9UPZ9	Q12469	0.025791632485643968
Q00537	Q12469	0.02572600492206727
Q13308	Q12469	0.025791632485643968
P35916	Q12469	0.025791632485643968
Q6XUX3	Q12469	0.025791632485643968
Q9UQ88	Q12469	0.025086136177194424
P57059	Q12469	0.025594749794913864
Q9HBH9	Q12469	0.0259064807219032
A0A0B4J2F2	Q12469	0.025594749794913864
Q8NE63	Q12469	0.02552912223133716
P21709	Q12469	0.02566037735849057
P21127	Q12469	0.024840032813781783
O75716	Q12469	0.02464315012305168
Q07002	Q12469	0.025266611977030354
Q15746	Q12469	0.025594749794913864
P50750	Q12469	0.02490566037735849
P11802	Q12469	0.024380639868744877
P22607	Q12469	0.025266611977030354
Q00536	Q12469	0.024971287940935193
Q96LW2	Q12469	0.02490566037735849
Q16288	Q12469	0.025135356849876948
P54753	Q12469	0.025086136177194417
Q16659	Q12469	0.025036915504511894
Q96C45	Q12469	0.025036915504511894
P07332	Q12469	0.024774405250205085
Q6SA08	Q12469	0.024150943396226414
P53355	Q12469	0.024774405250205085
Q38SD2	Q12469	0.024708777686628384
Q00535	Q12469	0.02349466776045939
Q6J9G0	Q12469	0.02401968826907301
Q9UF33	Q12469	0.02424938474159147
P19525	Q12469	0.024150943396226414
P43403	Q12469	0.024085315832649716
P35590	Q12469	0.024150943396226414
Q15772	Q12469	0.024085315832649716
Q15772	Q12469	0.02364232977850697
Q15772	Q12469	0.023642329778506978
Q15772	Q12469	0.023199343724364233
P43405	Q12469	0.023888433141919605
P23458	Q12469	0.023888433141919605
P17948	Q12469	0.023888433141919605
Q9P2K8	Q12469	0.023888433141919605
Q8NCB2	Q12469	0.0236915504511895
Q96RG2	Q12469	0.023625922887612796
P07333	Q12469	0.023560295324036095
Q02763	Q12469	0.02349466776045939
Q08345	Q12469	0.023429040196882692
Q5VST9	Q12469	0.023625922887612796
O43781	Q12469	0.023264971287940937
P20794	Q12469	0.023068088597210826
Q99640	Q12469	0.023002461033634125
P57078	Q12469	0.023068088597210826
P00540	Q12469	0.022510254306808856
Q9NZJ5	Q12469	0.023068088597210826
Q9Y463	Q12469	0.022559474979491387
Q9HAZ1	Q12469	0.02313371616078753
O15146	Q12469	0.022559474979491387
P09619	Q12469	0.022690730106644793
P35968	Q12469	0.022510254306808856
P07949	Q12469	0.022625102543068085
P30530	Q12469	0.022378999179655457
Q9UQ07	Q12469	0.021985233798195242
P49759	Q12469	0.021985233798195242
P49760	Q12469	0.02211648892534865
O75460	Q12469	0.02211648892534865
Q13627	Q12469	0.021985233798195242
O00238	Q12469	0.02178835110746514
Q07912	Q12469	0.021853978671041836
Q5S007	Q12469	0.021985233798195242
Q9UHD2	Q12469	0.021722723543888434
P16234	Q12469	0.02178835110746514
P36894	Q12469	0.021624282198523383
Q9UKI8	Q12469	0.021361771944216568
P00325	P00331	0.029433962264150945
P00326	P00331	0.028187038556193603
Q00796	P00331	0.027793273174733388
P07327	P00331	0.026283839212469236
P11766	P00331	0.025594749794913864
Q08257	P00331	0.023002461033634125
P28332	P00331	0.022608695652173914
Q53FA7	P00331	0.022378999179655457
P08319	P00331	0.02224774405250205
Q8N4Q0	P00331	0.02211648892534865
Q99536	P00331	0.022296964725184578
Q9UJX2	P16522	0.08137817883511074
P30260	P16522	0.03642329778506973
P23025	P28519	0.021607875307629202
P23378	P49095	0.33010664479081214
O75886	P38753	0.03888433141919606
Q92783	P38753	0.03642329778506973
P62993	P38753	0.021493027071369974
O75791	P38753	0.021099261689909762
Q5HYK7	P38753	0.02123051681706317
Q15428	Q07350	0.022050861361771944
Q13838	Q07478	0.19015586546349467
O00148	Q07478	0.18539786710418377
P38919	Q07478	0.0826907301066448
P26196	Q07478	0.08187038556193602
Q14240	Q07478	0.08022969647251846
P60842	Q07478	0.07793273174733388
Q9UHI6	Q07478	0.07612797374897456
Q9H0S4	Q07478	0.0712059064807219
Q9UMR2	Q07478	0.06398687448728466
Q9Y6V7	Q07478	0.06365873666940115
Q9NUU7	Q07478	0.06316652994257588
Q9BUQ8	Q07478	0.05955701394585726
Q96GQ7	Q07478	0.05955701394585726
Q5T1V6	Q07478	0.05873666940114848
Q9UHL0	Q07478	0.05676784249384741
Q9UJV9	Q07478	0.05578342904019688
Q92841	Q07478	0.05594749794913864
Q86XP3	Q07478	0.05545529122231337
O00571	Q07478	0.053978671041837574
P17844	Q07478	0.053814602132895815
Q9NQI0	Q07478	0.053486464315012305
Q86TM3	Q07478	0.053158326497128795
Q7L014	Q07478	0.055291222313371614
O15523	Q07478	0.05299425758818704
Q9NXZ2	Q07478	0.05233798195242002
Q8NHQ9	Q07478	0.05184577522559475
Q8TDD1	Q07478	0.04840032813781788
Q9Y2R4	Q07478	0.04823625922887613
Q13206	Q07478	0.04774405250205086
Q9NVP1	Q07478	0.04741591468416735
Q9NR30	Q07478	0.045118949958982774
Q9BQ39	Q07478	0.04052502050861362
Q9NUL7	Q07478	0.0398687448728466
Q9NY93	Q07478	0.03872026251025431
Q9H8H2	Q07478	0.03658736669401148
Q9GZR7	Q07478	0.03625922887612797
Q92499	Q07478	0.03314191960623462
Q8N8A6	Q07478	0.03191140278917145
Q96SB4	Q03656	0.0712059064807219
P78362	Q03656	0.0712059064807219
P78362	Q03656	0.06513535684987695
P78362	Q03656	0.06546349466776046
P78362	Q03656	0.05939294503691551
Q9UPE1	Q03656	0.06923707957342083
Q9UPE1	Q03656	0.0638228055783429
Q9UPE1	Q03656	0.06398687448728466
Q9UPE1	Q03656	0.05857260049220673
Q13523	Q03656	0.03133716160787531
Q13523	Q03656	0.027481542247744052
Q13523	Q03656	0.027612797374897458
Q13523	Q03656	0.023757178014766202
P49760	Q03656	0.03007383100902379
P49760	Q03656	0.02679245283018868
P49760	Q03656	0.026398687448728468
P49760	Q03656	0.023117309269893357
Q92630	Q03656	0.02982772764561116
Q92630	Q03656	0.02982772764561116
Q92630	Q03656	0.02945036915504512
Q92630	Q03656	0.02945036915504512
Q9NR20	Q03656	0.029384741591468422
Q9NR20	Q03656	0.026349466776045945
Q9NR20	Q03656	0.02610336341263331
Q9NR20	Q03656	0.023068088597210833
O43781	Q03656	0.02874487284659557
O43781	Q03656	0.02863002461033634
O43781	Q03656	0.028613617719442166
O43781	Q03656	0.028498769483182935
P49761	Q03656	0.028876127973748975
P49761	Q03656	0.027366694011484824
P49761	Q03656	0.027038556193601314
P49761	Q03656	0.02552912223133716
P49759	Q03656	0.028055783429040197
P49759	Q03656	0.02654634946677605
P49759	Q03656	0.025972108285479904
P49759	Q03656	0.02446267432321575
Q9HAZ1	Q03656	0.02730106644790812
Q9HAZ1	Q03656	0.026726825266611975
Q9HAZ1	Q03656	0.02648072190319934
Q9HAZ1	Q03656	0.025906480721903196
Q13627	Q03656	0.027366694011484824
Q13627	Q03656	0.026677604593929448
Q13627	Q03656	0.026661197703035273
Q13627	Q03656	0.025972108285479904
Q9Y463	Q03656	0.026349466776045938
Q9Y463	Q03656	0.02566037735849056
Q9Y463	Q03656	0.02566037735849057
Q9Y463	Q03656	0.024971287940935193
P53779	Q03656	0.024446267432321575
O76039	Q03656	0.024397046759639048
P45984	Q03656	0.022608695652173914
P45983	Q03656	0.02280557834290402
Q9H2X6	Q03656	0.022378999179655457
P11802	Q03656	0.021542247744052504
O15264	Q03656	0.02129614438063987
P42025	P38696	0.12928630024610335
P61163	P38696	0.12895816242821986
P68032	P38696	0.11911402789171452
P63261	P38696	0.11911402789171452
P60709	P38696	0.11911402789171452
P68133	P38696	0.11911402789171452
P62736	P38696	0.11878589007383102
P63267	P38696	0.1184577522559475
Q562R1	P38696	0.11419196062346186
Q9BYX7	P38696	0.11123872026251025
P0CG38	P38696	0.10926989335520919
Q6S8J3	P38696	0.10894175553732567
A5A3E0	P38696	0.10894175553732567
P0CG39	P38696	0.10828547990155865
Q8TDG2	P38696	0.09089417555373257
P61160	P38696	0.08334700574241181
Q9Y614	P38696	0.07448728465955701
Q9Y615	P38696	0.07186218211648893
Q9P1U1	P38696	0.06086956521739131
O96019	P38696	0.05840853158326497
O94805	P38696	0.05742411812961444
P61158	P38696	0.05824446267432322
