fly	bakers	score
A8DYP0	P24583	0.03563981042654028
A8DYP0	P24719	0.04329383886255925
A8DYP0	P25341	0.038341232227488156
A8DYP0	P25389	0.05402843601895735
A8DYP0	P25390	0.03431279620853081
A8DYP0	P27466	0.048838862559241705
A8DYP0	P27636	0.04407582938388625
A8DYP0	P31374	0.032582938388625596
A8DYP0	P32490	0.033021327014218005
A8DYP0	P32562	0.03829383886255924
A8DYP0	P34244	0.044502369668246444
A8DYP0	P38147	0.0371563981042654
A8DYP0	P38622	0.04593601895734597
A8DYP0	P38623	0.04260663507109005
A8DYP0	P38692	0.04052132701421801
A8DYP0	P38991	0.043116113744075826
A8DYP0	P39009	0.04677725118483412
A8DYP0	P48562	0.036291469194312795
A8DYP0	P53104	0.03143364928909953
A8DYP0	P53739	0.04436018957345971
A8DYP0	Q00772	0.03130331753554503
A8DYP0	Q01389	0.03882701421800948
A8DYP0	Q03002	0.03758293838862559
A8DYP0	Q03306	0.03613744075829384
A8DYP0	Q03407	0.039063981042654024
A8DYP0	Q03497	0.04020142180094787
A8DYP0	Q08217	0.03194312796208531
A8DYP0	Q12100	0.034763033175355444
A8DYP0	Q12152	0.038933649289099516
A8DYP0	Q12236	0.040142180094786734
A8DYP0	Q12263	0.0433649289099526
A8DYP0	Q12469	0.03559241706161137
B7YZT2	P40515	0.0333175355450237
F3YDF1	P18759	0.06042654028436019
F3YDF1	P24004	0.07061611374407582
F3YDF1	P25694	0.08815165876777252
F3YDF1	P28737	0.07393364928909953
F3YDF1	P32794	0.07594786729857819
F3YDF1	P32795	0.21374407582938387
F3YDF1	P32839	0.03232227488151659
F3YDF1	P33297	0.08151658767772511
F3YDF1	P33298	0.07867298578199051
F3YDF1	P33299	0.08791469194312797
F3YDF1	P33760	0.07677725118483412
F3YDF1	P39925	0.16729857819905214
F3YDF1	P39955	0.054502369668246446
F3YDF1	P40327	0.08199052132701422
F3YDF1	P40328	0.054976303317535544
F3YDF1	P40340	0.07488151658767772
F3YDF1	P40341	0.17464454976303317
F3YDF1	P52917	0.057345971563981045
F3YDF1	P53549	0.08246445497630332
F3YDF1	Q01939	0.08080568720379147
F3YDF1	Q07844	0.0740521327014218
M9PFN0	P38757	0.055213270142180096
M9PFN0	Q02776	0.0495260663507109
M9PFN0	Q07800	0.10118483412322275
M9PFN0	Q07949	0.0990521327014218
O01666	P38077	0.0981042654028436
O02193	P34218	0.11279620853080569
O02193	P40963	0.07748815165876777
O02193	Q08649	0.1395734597156398
O02195	P25382	0.028672985781990522
O02195	P40217	0.14218009478672985
O02649	P19882	0.29075829383886254
O02649	P40413	0.03130331753554503
O16102	P22082	0.17772511848341233
O16102	P31244	0.04335308056872037
O16102	P31380	0.12914691943127962
O16102	P32333	0.11872037914691944
O16102	P32597	0.18246445497630331
O16102	P32657	0.23246445497630333
O16102	P32849	0.03783175355450237
O16102	P32863	0.10734597156398104
O16102	P38086	0.0990521327014218
O16102	P38144	0.19407582938388626
O16102	P40352	0.12203791469194313
O16102	P43610	0.15
O16102	P53115	0.08293838862559241
O16102	Q04779	0.03241706161137441
O16102	Q05471	0.0811611374407583
O16102	Q08562	0.04270142180094787
O16102	Q08773	0.2023696682464455
O16129	P08425	0.14928909952606634
O16130	P04650	0.03241706161137441
O16844	P27895	0.032772511848341235
O16844	P53086	0.04976303317535545
O17445	P05748	0.13507109004739337
O17445	P54780	0.13507109004739337
O18334	P01119	0.04836492890995261
O18334	P01120	0.04372037914691943
O18334	P01123	0.06540284360189573
O18334	P06780	0.040971563981042645
O18334	P07560	0.06350710900473934
O18334	P13856	0.04052132701421801
O18334	P19073	0.03450236966824644
O18334	P25378	0.0328436018957346
O18334	P32835	0.04454976303317536
O18334	P32836	0.04436018957345971
O18334	P32939	0.053554502369668244
O18334	P36017	0.07440758293838863
O18334	P36018	0.06729857819905213
O18334	P36019	0.07109004739336493
O18334	P38146	0.052132701421800945
O18334	P38555	0.06587677725118483
O18334	P38987	0.03139810426540284
O18334	P48559	0.032582938388625596
O18334	P51996	0.06635071090047394
O18334	Q00245	0.03194312796208531
O18334	Q00246	0.03360189573459716
O18334	Q99260	0.12417061611374408
O18388	Q06142	0.22109004739336494
O18404	P40580	0.03194312796208531
O18404	Q02207	0.034999999999999996
O18404	Q05016	0.027914691943127963
O18404	Q07530	0.03495260663507109
O18405	P53337	0.07274881516587678
O18413	P18759	0.06919431279620854
O18413	P24004	0.07393364928909953
O18413	P25694	0.09952606635071092
O18413	P28737	0.06635071090047394
O18413	P32794	0.0909952606635071
O18413	P32795	0.08909952606635071
O18413	P32839	0.03469194312796209
O18413	P33297	0.14834123222748816
O18413	P33298	0.14028436018957346
O18413	P33299	0.16635071090047393
O18413	P33760	0.08388625592417062
O18413	P39925	0.09431279620853081
O18413	P39955	0.05829383886255924
O18413	P40327	0.16066350710900473
O18413	P40328	0.06563981042654028
O18413	P40340	0.08933649289099527
O18413	P40341	0.0924170616113744
O18413	P52917	0.07109004739336493
O18413	P53549	0.1504739336492891
O18413	Q01939	0.2962085308056872
O18413	Q07844	0.08447867298578199
O18475	P32639	0.061611374407582936
O18475	P35207	0.033838862559241706
O18475	P47047	0.042180094786729856
O18475	P51979	0.05781990521327014
O18475	P53327	0.05697867298578199
O18640	P07834	0.032859399684044235
O18640	P16649	0.03517377567140601
O18640	P20053	0.03289099526066351
O18640	P25382	0.04246445497630333
O18640	P25635	0.031018957345971567
O18640	P36037	0.03360189573459716
O18640	P38011	0.15497630331753554
O18640	P38129	0.04052132701421801
O18640	P39014	0.0423696682464455
O18640	P41318	0.028483412322274883
O18640	P41811	0.03240126382306477
O18640	P42841	0.03104265402843602
O18640	P47025	0.030829383886255925
O18640	P53622	0.03562796208530805
O18640	Q05946	0.033222748815165876
O18640	Q12220	0.03303317535545024
O18640	Q12417	0.0437914691943128
O44081	P33322	0.27606635071090047
O44437	P43321	0.0504739336492891
O46036	P40054	0.053791469194312796
O46036	P40510	0.054265402843601894
O46036	P53839	0.05545023696682464
O46036	Q08911	0.04327014218009479
O46054	P10614	0.03241706161137441
O46054	P54781	0.03511848341232227
O46072	P15938	0.07985781990521328
O46072	P20095	0.08092417061611375
O46072	P24384	0.08412322274881516
O46072	P36009	0.0697867298578199
O46072	P53131	0.08447867298578199
O46072	Q04217	0.2734597156398104
O46072	Q06698	0.05770142180094786
O46106	P19736	0.06279620853080568
O46108	P34163	0.06943127962085308
O46108	Q07804	0.039241706161137445
O46108	Q07950	0.03815165876777251
O46339	P41817	0.03478672985781991
O46339	P53147	0.03540284360189574
O61231	P41805	0.13649289099526066
O61267	P00546	0.042890995260663506
O61267	P05986	0.06824644549763033
O61267	P06242	0.04308056872037915
O61267	P06244	0.06872037914691943
O61267	P06245	0.07037914691943128
O61267	P06782	0.08246445497630332
O61267	P08018	0.03786729857819905
O61267	P08458	0.04729857819905213
O61267	P11792	0.06137440758293839
O61267	P12688	0.054976303317535544
O61267	P13185	0.06824644549763033
O61267	P13186	0.06824644549763033
O61267	P14680	0.030379146919431277
O61267	P14681	0.0442654028436019
O61267	P15442	0.039620853080568716
O61267	P15790	0.03469194312796209
O61267	P16892	0.05071090047393365
O61267	P17157	0.04507109004739336
O61267	P18961	0.05545023696682464
O61267	P19454	0.035781990521327016
O61267	P21965	0.042890995260663506
O61267	P22204	0.04834123222748815
O61267	P22211	0.03853080568720379
O61267	P22216	0.08981042654028436
O61267	P22517	0.07345971563981042
O61267	P23293	0.033222748815165876
O61267	P23561	0.043175355450236964
O61267	P24583	0.05023696682464455
O61267	P24719	0.07298578199052133
O61267	P25333	0.04881516587677725
O61267	P25341	0.052132701421800945
O61267	P25389	0.07701421800947868
O61267	P25390	0.0471090047393365
O61267	P27466	0.07772511848341232
O61267	P27636	0.054976303317535544
O61267	P28708	0.04308056872037915
O61267	P31374	0.047867298578199054
O61267	P32328	0.04739336492890995
O61267	P32361	0.032582938388625596
O61267	P32485	0.054739336492891
O61267	P32490	0.0418957345971564
O61267	P32491	0.04052132701421801
O61267	P32562	0.07488151658767772
O61267	P32801	0.042274881516587676
O61267	P34244	0.07535545023696683
O61267	P36002	0.036682464454976305
O61267	P36004	0.043696682464454975
O61267	P36005	0.043530805687203786
O61267	P38070	0.056635071090047395
O61267	P38147	0.054502369668246446
O61267	P38615	0.03440758293838862
O61267	P38622	0.06943127962085308
O61267	P38623	0.06966824644549763
O61267	P38691	0.036161137440758294
O61267	P38692	0.04881516587677725
O61267	P38970	0.043886255924170614
O61267	P38990	0.046374407582938384
O61267	P38991	0.05758293838862559
O61267	P39009	0.0962085308056872
O61267	P41808	0.03540284360189574
O61267	P43565	0.039052132701421806
O61267	P43568	0.029194312796208533
O61267	P43637	0.053791469194312796
O61267	P47116	0.03758293838862559
O61267	P48562	0.052132701421800945
O61267	P50873	0.036492890995260666
O61267	P53104	0.057345971563981045
O61267	P53233	0.036682464454976305
O61267	P53599	0.046350710900473935
O61267	P53739	0.05071090047393365
O61267	P53894	0.04701421800947867
O61267	Q00772	0.04417061611374408
O61267	Q01389	0.054265402843601894
O61267	Q01919	0.06635071090047394
O61267	Q03002	0.06777251184834124
O61267	Q03306	0.04099526066350711
O61267	Q03407	0.04834123222748815
O61267	Q03497	0.054739336492891
O61267	Q03533	0.03777251184834123
O61267	Q03785	0.03867298578199052
O61267	Q03957	0.04343601895734597
O61267	Q08217	0.0509478672985782
O61267	Q12100	0.0509478672985782
O61267	Q12152	0.05971563981042654
O61267	Q12222	0.033412322274881515
O61267	Q12236	0.055213270142180096
O61267	Q12263	0.07962085308056872
O61267	Q12310	0.04116113744075829
O61267	Q12469	0.04976303317535545
O61267	Q12505	0.03623222748815166
O61345	Q04373	0.06611374407582939
O61443	P00546	0.08246445497630332
O61443	P05986	0.0414218009478673
O61443	P06242	0.07867298578199051
O61443	P06244	0.039431279620853084
O61443	P06245	0.04180094786729858
O61443	P06782	0.0414218009478673
O61443	P06784	0.03559241706161137
O61443	P08458	0.03981042654028436
O61443	P11792	0.03888625592417062
O61443	P12688	0.0328436018957346
O61443	P13185	0.035971563981042655
O61443	P13186	0.037417061611374404
O61443	P14680	0.05071090047393365
O61443	P14681	0.1481042654028436
O61443	P15442	0.03725118483412322
O61443	P15790	0.05545023696682464
O61443	P16892	0.14597156398104266
O61443	P17157	0.08483412322274882
O61443	P18961	0.03450236966824644
O61443	P19454	0.05924170616113744
O61443	P21965	0.07156398104265403
O61443	P22204	0.033933649289099525
O61443	P22211	0.035687203791469196
O61443	P22216	0.04976303317535545
O61443	P22517	0.04507109004739336
O61443	P23293	0.07701421800947868
O61443	P23561	0.03796208530805687
O61443	P24583	0.03521327014218009
O61443	P24719	0.03303317535545024
O61443	P25333	0.036492890995260666
O61443	P25341	0.03549763033175356
O61443	P25389	0.04161137440758294
O61443	P25390	0.03630331753554502
O61443	P27466	0.043601895734597156
O61443	P27636	0.045639810426540285
O61443	P31374	0.03815165876777251
O61443	P32350	0.042890995260663506
O61443	P32361	0.03130331753554503
O61443	P32485	0.1760663507109005
O61443	P32490	0.04881516587677725
O61443	P32491	0.047867298578199054
O61443	P32562	0.040331753554502366
O61443	P32581	0.05616113744075829
O61443	P32944	0.033412322274881515
O61443	P34244	0.042180094786729856
O61443	P36005	0.12511848341232226
O61443	P38070	0.0442654028436019
O61443	P38147	0.034123222748815164
O61443	P38615	0.07061611374407582
O61443	P38692	0.03751184834123223
O61443	P38991	0.037417061611374404
O61443	P39009	0.043270142180094784
O61443	P39073	0.05781990521327014
O61443	P41808	0.11184834123222749
O61443	P43637	0.0442654028436019
O61443	P48562	0.03751184834123223
O61443	P50873	0.06587677725118483
O61443	P53233	0.030663507109004742
O61443	P53739	0.033412322274881515
O61443	Q00772	0.14218009478672985
O61443	Q01389	0.04601895734597156
O61443	Q01919	0.03758293838862559
O61443	Q03002	0.0423696682464455
O61443	Q03306	0.04976303317535545
O61443	Q03407	0.04052132701421801
O61443	Q03497	0.042985781990521325
O61443	Q03957	0.07085308056872038
O61443	Q08217	0.035781990521327016
O61443	Q08732	0.04106635071090048
O61443	Q12100	0.03850710900473934
O61443	Q12152	0.030853080568720378
O61443	Q12222	0.05924170616113744
O61443	Q12236	0.03981042654028436
O61443	Q12263	0.043270142180094784
O61443	Q12310	0.03367298578199052
O61443	Q12469	0.03725118483412322
O61613	P14743	0.15924170616113745
O61661	P00546	0.04199052132701422
O61661	P05986	0.05545023696682464
O61661	P06242	0.034218009478672984
O61661	P06244	0.054265402843601894
O61661	P06245	0.0533175355450237
O61661	P06782	0.07890995260663507
O61661	P08018	0.033838862559241706
O61661	P08458	0.04554502369668246
O61661	P11792	0.04490521327014218
O61661	P12688	0.043175355450236964
O61661	P13185	0.06445497630331753
O61661	P13186	0.06587677725118483
O61661	P14681	0.0371563981042654
O61661	P15442	0.03995260663507109
O61661	P16892	0.04488151658767773
O61661	P17157	0.04535545023696683
O61661	P18961	0.04180094786729858
O61661	P19454	0.030853080568720378
O61661	P22204	0.03734597156398104
O61661	P22211	0.04298578199052132
O61661	P22216	0.06350710900473934
O61661	P22517	0.06350710900473934
O61661	P23293	0.03130331753554503
O61661	P23561	0.0485781990521327
O61661	P24583	0.04023696682464455
O61661	P24719	0.04052132701421801
O61661	P25333	0.054265402843601894
O61661	P25341	0.04445497630331753
O61661	P25389	0.07748815165876777
O61661	P25390	0.04881516587677725
O61661	P27466	0.06398104265402843
O61661	P27636	0.06018957345971564
O61661	P28708	0.03530805687203791
O61661	P31374	0.054502369668246446
O61661	P32328	0.03744075829383886
O61661	P32485	0.03853080568720379
O61661	P32490	0.046161137440758296
O61661	P32491	0.04464454976303318
O61661	P32562	0.052132701421800945
O61661	P32801	0.03360189573459716
O61661	P32944	0.03137440758293839
O61661	P34244	0.07914691943127962
O61661	P36002	0.033933649289099525
O61661	P36004	0.04720379146919431
O61661	P38070	0.042890995260663506
O61661	P38147	0.08862559241706161
O61661	P38615	0.035781990521327016
O61661	P38622	0.05023696682464455
O61661	P38623	0.046184834123222746
O61661	P38691	0.03914691943127962
O61661	P38692	0.042440758293838865
O61661	P38970	0.04507109004739336
O61661	P38990	0.04234597156398104
O61661	P38991	0.052132701421800945
O61661	P39009	0.07274881516587678
O61661	P39073	0.03469194312796208
O61661	P41808	0.036492890995260666
O61661	P43565	0.04400473933649289
O61661	P43637	0.0504739336492891
O61661	P47116	0.03469194312796209
O61661	P48562	0.043175355450236964
O61661	P53104	0.04052132701421801
O61661	P53233	0.033412322274881515
O61661	P53599	0.04734597156398104
O61661	P53739	0.043175355450236964
O61661	P53894	0.032488151658767776
O61661	P54199	0.031232227488151663
O61661	Q00772	0.03786729857819905
O61661	Q01389	0.05924170616113744
O61661	Q01919	0.07511848341232227
O61661	Q03002	0.07417061611374408
O61661	Q03306	0.044739336492890996
O61661	Q03407	0.05402843601895735
O61661	Q03497	0.046161137440758296
O61661	Q03533	0.03511848341232227
O61661	Q03785	0.036872037914691944
O61661	Q03957	0.040426540284360185
O61661	Q08217	0.05971563981042654
O61661	Q08732	0.043341232227488154
O61661	Q12100	0.052132701421800945
O61661	Q12152	0.05900473933649289
O61661	Q12236	0.05308056872037915
O61661	Q12263	0.08104265402843602
O61661	Q12310	0.04507109004739336
O61661	Q12469	0.04109004739336493
O61661	Q12505	0.03459715639810427
O62618	P00546	0.08246445497630332
O62618	P05986	0.03981042654028436
O62618	P06242	0.07582938388625593
O62618	P06244	0.03886255924170616
O62618	P06245	0.039881516587677725
O62618	P06782	0.041611374407582946
O62618	P06784	0.03459715639810427
O62618	P08458	0.03758293838862559
O62618	P11792	0.03770142180094787
O62618	P12688	0.033127962085308056
O62618	P13185	0.03744075829383886
O62618	P13186	0.036066350710900474
O62618	P14680	0.04881516587677725
O62618	P14681	0.13791469194312797
O62618	P15442	0.03725118483412322
O62618	P15790	0.05568720379146919
O62618	P16892	0.14218009478672985
O62618	P17157	0.08341232227488152
O62618	P18961	0.03677725118483412
O62618	P19454	0.06018957345971564
O62618	P21965	0.07109004739336493
O62618	P22211	0.037227488151658765
O62618	P22216	0.047251184834123224
O62618	P22517	0.04161137440758294
O62618	P23293	0.07440758293838863
O62618	P23561	0.035971563981042655
O62618	P24583	0.03706161137440758
O62618	P24719	0.033933649289099525
O62618	P25333	0.034028436018957345
O62618	P25341	0.031232227488151663
O62618	P25389	0.03981042654028436
O62618	P25390	0.034218009478672984
O62618	P27466	0.03995260663507109
O62618	P27636	0.04601895734597156
O62618	P31374	0.03815165876777251
O62618	P32350	0.03869668246445498
O62618	P32361	0.03009478672985782
O62618	P32485	0.17132701421800947
O62618	P32490	0.04554502369668246
O62618	P32491	0.04488151658767773
O62618	P32562	0.038341232227488156
O62618	P32581	0.06066350710900474
O62618	P32944	0.031232227488151663
O62618	P34244	0.04170616113744076
O62618	P36005	0.12606635071090047
O62618	P38070	0.04132701421800948
O62618	P38147	0.03104265402843602
O62618	P38615	0.07061611374407582
O62618	P38692	0.03824644549763033
O62618	P38991	0.038981042654028436
O62618	P39009	0.04308056872037915
O62618	P39073	0.058056872037914695
O62618	P41808	0.10853080568720379
O62618	P43565	0.030118483412322275
O62618	P43637	0.04362559241706161
O62618	P48562	0.036161137440758294
O62618	P50873	0.061611374407582936
O62618	P53233	0.030284360189573457
O62618	Q00772	0.13507109004739337
O62618	Q01389	0.05308056872037915
O62618	Q01919	0.03630331753554502
O62618	Q03002	0.03786729857819905
O62618	Q03306	0.043886255924170614
O62618	Q03407	0.03706161137440758
O62618	Q03497	0.04234597156398104
O62618	Q03656	0.02985781990521327
O62618	Q03957	0.07227488151658767
O62618	Q08217	0.033744075829383886
O62618	Q08732	0.042156398104265407
O62618	Q12100	0.038341232227488156
O62618	Q12222	0.06113744075829384
O62618	Q12236	0.039052132701421806
O62618	Q12263	0.043530805687203786
O62618	Q12310	0.03360189573459716
O62618	Q12469	0.03540284360189574
O62619	P00549	0.22701421800947869
O62619	P52489	0.22274881516587677
O62621	P07834	0.03039099526066351
O62621	P16649	0.034680094786729856
O62621	P20053	0.03450236966824644
O62621	P25382	0.03619273301737756
O62621	P25635	0.0375
O62621	P38011	0.03078199052132702
O62621	P38129	0.039372037914691946
O62621	P39014	0.03478672985781991
O62621	P40968	0.031563981042654024
O62621	P41811	0.3523696682464455
O62621	P47025	0.03175355450236967
O62621	P53622	0.07665876777251185
O62621	Q05946	0.03725118483412322
O62621	Q12417	0.03992890995260663
O76324	P22517	0.03158767772511849
O76324	P23291	0.1490521327014218
O76324	P23292	0.14834123222748816
O76324	P27466	0.030379146919431277
O76324	P29295	0.2018957345971564
O76324	P39962	0.13222748815165877
O76324	Q01389	0.03130331753554502
O76324	Q03002	0.029834123222748817
O76324	Q03407	0.030379146919431277
O76460	P22082	0.10995260663507109
O76460	P31244	0.04407582938388625
O76460	P31380	0.09170616113744076
O76460	P32333	0.09573459715639811
O76460	P32597	0.11824644549763033
O76460	P32657	0.1066350710900474
O76460	P32849	0.04052132701421801
O76460	P32863	0.2609004739336493
O76460	P38086	0.1872037914691943
O76460	P38144	0.1037914691943128
O76460	P40352	0.12654028436018958
O76460	P43610	0.0971563981042654
O76460	P53115	0.0504739336492891
O76460	Q05471	0.058530805687203785
O76460	Q08562	0.04071090047393365
O76460	Q08773	0.11777251184834123
O76464	P49775	0.04270142180094787
