mouse	rat	score
A2ASQ1	Q07310	0.008266660391566264
A2ASQ1	Q63374	0.008353570532128513
A2ASS6	D3ZML2	0.010824548192771084
A2ASS6	D4AE59	0.010212725903614458
A2ASS6	E9PSL7	0.00806664156626506
A2ASS6	F1M0Z1	0.014118975903614458
A2ASS6	F1M7Y5	0.007906626506024096
A2ASS6	O08679	0.009600903614457831
A2ASS6	O08775	0.007104198042168675
A2ASS6	O08875	0.013177710843373495
A2ASS6	O35158	0.00878601210397144
A2ASS6	O54874	0.0074501129518072294
A2ASS6	O55005	0.009501345932736143
A2ASS6	O88764	0.020143072289156627
A2ASS6	P04937	0.007423051581325304
A2ASS6	P05696	0.008443147590361445
A2ASS6	P08413	0.01407191265060241
A2ASS6	P09216	0.008626694277108434
A2ASS6	P09217	0.007737198795180723
A2ASS6	P11275	0.01407191265060241
A2ASS6	P11730	0.013930722891566265
A2ASS6	P13596	0.008846486846077117
A2ASS6	P15791	0.014495481927710843
A2ASS6	P19139	0.007977221385542169
A2ASS6	P21708	0.007506588855421686
A2ASS6	P27791	0.00804781626506024
A2ASS6	P35465	0.009742093373493976
A2ASS6	P47196	0.009695030120481929
A2ASS6	P53767	0.007961729731425707
A2ASS6	P54645	0.009375
A2ASS6	P63319	0.00897496234939759
A2ASS6	P67999	0.00940323795180723
A2ASS6	P68182	0.008245481927710843
A2ASS6	P68403	0.00802899096385542
A2ASS6	P97546	0.007381871234939759
A2ASS6	P97685	0.009457747283777976
A2ASS6	P97756	0.008899661144578313
A2ASS6	P97924	0.007903026803158584
A2ASS6	Q03114	0.008104292168674698
A2ASS6	Q04589	0.006660626882530121
A2ASS6	Q05546	0.006941829819277108
A2ASS6	Q06226	0.009205572289156628
A2ASS6	Q09137	0.009600903614457831
A2ASS6	Q62718	0.0070413044222343985
A2ASS6	Q62813	0.006888370242332971
A2ASS6	Q62868	0.007087725903614459
A2ASS6	Q62915	0.014495481927710843
A2ASS6	Q63092	0.013224774096385542
A2ASS6	Q63155	0.008478057450389797
A2ASS6	Q63198	0.008830943120025348
A2ASS6	Q63433	0.008913780120481928
A2ASS6	Q63531	0.010702183734939759
A2ASS6	Q63538	0.00703125
A2ASS6	Q63638	0.011113402020781576
A2ASS6	Q64604	0.008401196698558865
A2ASS6	Q7TT49	0.0078125
A2ASS6	Q810W7	0.0074501129518072294
A2ASS6	Q8VHF0	0.009977409638554216
A2ASS6	Q91XS8	0.017554593373493976
A2ASS6	Q9QY78	0.007756024096385543
A2ASS6	Q9R012	0.008866716867469879
A2ASS6	Q9R044	0.008051245159208254
A2CG49	D3ZML2	0.011577560240963855
A2CG49	E9PSL7	0.008518448795180723
A2CG49	F1M0Z1	0.09880929969879518
A2CG49	F1M7Y5	0.00804781626506024
A2CG49	O08679	0.011248117469879517
A2CG49	O08815	0.007101844879518072
A2CG49	O08875	0.01402484939759036
A2CG49	O54874	0.008556099397590363
A2CG49	O55005	0.0072853915662650605
A2CG49	O55043	0.0065794427710843375
A2CG49	O88506	0.007228915662650602
A2CG49	O88764	0.021743222891566265
A2CG49	P05696	0.0074501129518072294
A2CG49	P08413	0.012565888554216868
A2CG49	P09216	0.006941829819277108
A2CG49	P09217	0.007614834337349398
A2CG49	P11275	0.013601280120481929
A2CG49	P11730	0.01355421686746988
A2CG49	P15791	0.013130647590361446
A2CG49	P21708	0.006381777108433735
A2CG49	P27791	0.009398531626506024
A2CG49	P35465	0.009370293674698795
A2CG49	P47196	0.008207831325301205
A2CG49	P49186	0.0065606174698795185
A2CG49	P54645	0.010071536144578314
A2CG49	P63086	0.006400602409638554
A2CG49	P63319	0.007525414156626506
A2CG49	P67999	0.009163215361445782
A2CG49	P68182	0.009742093373493976
A2CG49	P68403	0.006979480421686748
A2CG49	P97756	0.00832078313253012
A2CG49	P97924	0.5736069277108434
A2CG49	Q06226	0.010212725903614458
A2CG49	Q09137	0.010306852409638554
A2CG49	Q62868	0.008697289156626507
A2CG49	Q62915	0.012612951807228916
A2CG49	Q62925	0.007464231927710843
A2CG49	Q63092	0.010589231927710843
A2CG49	Q63155	0.006231174698795181
A2CG49	Q63433	0.00701242469879518
A2CG49	Q63531	0.011191641566265061
A2CG49	Q63538	0.007741905120481928
A2CG49	Q63638	0.013118097389558235
A2CG49	Q64604	0.007953689759036145
A2CG49	Q7TT49	0.008556099397590363
A2CG49	Q810W7	0.008137236445783133
A2CG49	Q8VHF0	0.011389307228915662
A2CG49	Q91XS8	0.01821347891566265
A2CG49	Q9JIH7	0.007323042168674698
A2CG49	Q9QY78	0.007614834337349398
A2CG49	Q9R012	0.007087725903614457
A3KFM7	Q8K1P7	0.03605045180722891
A3KGF7	P10686	0.014636671686746988
A3KGF7	P10687	0.09930346385542169
A6H8H5	O88943	0.01016566265060241
A6H8H5	P10499	0.027249623493975902
A6H8H5	P15385	0.02706137048192771
A6H8H5	P19024	0.025602409638554216
A6H8H5	P63142	0.02682605421686747
A6H8H5	Q62897	0.027720256024096387
A6H8H5	Q62976	0.006179405120481928
A6H8H5	Q63881	0.02809676204819277
A6X935	Q63416	0.05991152108433735
B0F2B4	P06882	0.016001506024096387
B0F2B4	P37136	0.026167168674698794
B0F2B4	Q62765	0.08659638554216867
B0F2B4	Q62888	0.04444653614457831
B0F2B4	Q62889	0.08537274096385543
B0F2B4	Q8K3R0	0.02339043674698795
B0V2N1	B2GV87	0.05289909638554217
B0V2N1	O08617	0.016707454819277108
B0V2N1	O35158	0.006362951807228915
B0V2N1	O55005	0.010515813253012048
B0V2N1	P04157	0.02351593875502008
B0V2N1	P04937	0.00899378765060241
B0V2N1	P13596	0.007974083835341365
B0V2N1	P20417	0.01677804969879518
B0V2N1	P41499	0.01734280873493976
B0V2N1	P97685	0.010033885542168676
B0V2N1	P97924	0.007247740963855422
B0V2N1	Q03348	0.0560523343373494
B0V2N1	Q05546	0.007450112951807229
B0V2N1	Q62813	0.006287650602409638
B0V2N1	Q63155	0.013784826807228917
B0V2N1	Q63198	0.011011624623493978
B0V2N1	Q63259	0.01753106174698795
B0V2N1	Q64604	0.2379047439759036
B1AS29	P19490	0.058734939759036146
B1AS29	P19491	0.05751129518072289
B1AS29	P19492	0.05713478915662651
B1AS29	P19493	0.05666415662650602
B1AS29	P35439	0.023814006024096387
B1AS29	P42260	0.14429593373493976
B1AS29	Q00959	0.017695783132530122
B1AS29	Q00960	0.017131024096385544
B1AS29	Q00961	0.017036897590361446
B1AS29	Q62640	0.03463855421686747
B1AS29	Q62645	0.017131024096385544
B1AS29	Q63226	0.03280308734939759
B1AS29	Q9R1M7	0.015154367469879517
B1AWN6	P15389	0.23098644578313254
B1AWN6	P22002	0.011940783969210169
B1AWN6	P27732	0.01227633189006024
B1AWN6	P54282	0.011194636500547644
B1AWN6	Q02294	0.012661060910307899
B1AWN6	Q62968	0.19790097891566266
B1AY13	Q4VSI4	0.010918674698795181
B1AZP2	P97836	0.06626506024096386
B1AZP2	P97837	0.054969879518072286
B1AZP2	P97838	0.039721385542168676
B1AZP2	P97839	0.1878765060240964
B2RQC2	Q4VSI4	0.009134977409638555
B2RQC6	P07756	0.1394484186746988
B2RQC6	P52873	0.007068900602409638
B2RSH2	P04897	0.061841114457831324
B2RSH2	P08753	0.06588855421686747
B2RSH2	P10824	0.06908885542168675
B2RSH2	P19627	0.047157379518072286
B2RSH2	P59215	0.04998117469879518
B2RSH2	P63095	0.024378765060240965
B2RSH2	P82471	0.03416792168674699
B2RSH2	Q6Q7Y5	0.026167168674698794
B2RU80	B2GV87	0.019107680722891568
B2RU80	O08617	0.015719126506024098
B2RU80	P04157	0.015813253012048195
B2RU80	P04937	0.01377776731927711
B2RU80	P20417	0.019201807228915662
B2RU80	P41499	0.017648719879518073
B2RU80	Q03348	0.02033132530120482
B2RU80	Q05546	0.009410768072289155
B2RU80	Q63259	0.014401355421686747
B2RU80	Q64604	0.02073136295180723
B2RWS6	Q6JHU9	0.19338290662650603
B2RX14	Q3MHT4	0.011106927710843373
B2RXR6	O70511	0.020395383617804543
B2RXR6	P0C6S7	0.008248890996679019
B2RXR6	P62775	0.006075865963855422
B2RXR6	Q10728	0.007865446159638554
B2RXR6	Q2IBD4	0.007236899607358001
B2RXR6	Q63369	0.006441782756024096
B2RXR6	Q63746	0.006826524849397591
B2RXR6	Q8VHK2	0.008349564121872103
B2RXR6	Q99J82	0.006756400602409639
B2RXR6	Q9EQG6	0.01166839231927711
B2RXR6	Q9WV48	0.006497082078313252
B7ZNG0	F1M4A4	0.02023719879518072
B7ZNG0	O88658	0.020143072289156627
B7ZNG0	P56536	0.02348456325301205
B7ZNG0	Q2PQA9	0.02287274096385542
B7ZNG0	Q5XI51	0.017695783132530122
B7ZNG0	Q6QLM7	0.022496234939759035
B7ZNG0	Q9WV63	0.017601656626506024
B9EJA2	O70511	0.008621987951807231
B9EJA2	P0C6S7	0.007181852409638554
B9EJA2	Q10728	0.007977221385542169
B9EJA2	Q2IBD4	0.2947571536144578
B9EJA2	Q8VHK2	0.008527861445783134
B9EJA2	Q99J82	0.00652296686746988
B9EJA2	Q9EQG6	0.0070519578313253005
B9EJA2	Q9JLU4	0.0065982680722891564
B9EJA2	Q9WV48	0.007233621987951806
B9EKR1	B2GV87	0.03656814759036144
B9EKR1	O08617	0.013083584337349399
B9EKR1	P04157	0.031532379518072286
B9EKR1	P20417	0.012424698795180721
B9EKR1	P27139	0.010024472891566265
B9EKR1	P41499	0.012575301204819277
B9EKR1	P48284	0.010495105421686747
B9EKR1	Q03348	0.02280998995983936
B9EKR1	Q63259	0.013930722891566265
B9EKR1	Q64604	0.042262801204819275
C0HKE1	A9UMV8	0.022590361445783132
C0HKE1	P02262	0.02390813253012048
C0HKE1	P0C0S7	0.013177710843373495
C0HKE1	Q02874	0.014495481927710843
C3VPR6	P29315	0.006741026606425703
D3YWQ0	F1MAB7	0.203125
D3YWQ0	O08560	0.11059864457831325
D3YXK2	O88453	0.14038968373493976
D3YY91	P70587	0.006706513554216868
D3YZU1	O70511	0.00820488987198795
D3YZU1	P0C6S7	0.0063958960843373495
D3YZU1	Q2IBD4	0.006993599397590362
D3YZU1	Q9EQG6	0.007017131024096387
D3YZU1	Q9JLU4	0.03106174698795181
D3YZU1	Q9QX74	0.01986696787148594
D3YZU1	Q9WV48	0.39966114457831325
D3Z7P3	P13264	0.13121234939759036
D3Z7P3	P28492	0.07996046686746988
E0CZ16	Q8K430	0.029743975903614456
E0CZ16	Q9ER30	0.013224774096385542
E9PV24	P02680	0.01854292168674699
E9PV24	P14480	0.018589984939759035
E9PV24	Q05546	0.013507153614457831
E9PVD3	Q9Z1Y3	0.009659090909090909
E9PW05	Q01714	0.006315888554216868
E9PW05	Q02975	0.031438253012048195
E9PW05	Q07120	0.011566130593803785
E9PZ19	O35158	0.006381777108433735
E9PZ19	O55005	0.009400100401606425
E9PZ19	P13596	0.009638554216867469
E9PZ19	P97685	0.010676298945783133
E9PZ19	Q62718	0.007897213855421688
E9PZ19	Q62813	0.007433640813253012
E9PZ19	Q63155	0.01200112951807229
E9PZ19	Q63198	0.009991528614457831
E9PZ19	Q63638	0.008226656626506025
E9PZ19	Q64604	0.006993599397590362
E9PZ19	Q9R044	0.009506777108433735
E9PZM4	Q8K1P7	0.0390625
E9PZQ0	F1LMY4	0.8690229668674698
E9PZQ0	P29994	0.011568147590361445
E9PZQ0	Q63269	0.010753953313253012
E9Q309	O55156	0.008979668674698797
E9Q309	Q9JK25	0.00873023343373494
E9Q3L2	O08561	0.018919427710843373
E9Q3L2	O08662	0.4066265060240964
E9Q3L2	O88763	0.011106927710843373
E9Q3T6	Q01714	0.00618175828313253
E9Q3T6	Q02975	0.009310993975903615
E9Q3T6	Q07120	0.008775727911646587
E9Q401	F1LMY4	0.5625941265060241
E9Q401	P29994	0.011671686746987951
E9Q401	Q63269	0.01033979668674699
E9Q4F7	O70511	0.006950261985441766
E9Q4F7	P0C6S7	0.006471197289156626
E9Q4F7	Q10728	0.0065700301204819275
E9Q4F7	Q8VHK2	0.00753953313253012
E9Q4F7	Q9EQG6	0.007487763554216867
E9Q4F7	Q9WV48	0.006635918674698795
E9Q4Z2	P07633	0.0076524849397590355
E9Q4Z2	P52873	0.02004894578313253
E9Q557	D3ZHV2	0.045180722891566265
E9Q557	P30427	0.04195487306368331
E9Q5G3	F1M4A4	0.012283509036144578
E9Q5G3	O88658	0.012189382530120483
E9Q5G3	P56536	0.011109280873493976
E9Q5G3	Q2PQA9	0.009732680722891567
E9Q5G3	Q5XI51	0.010871611445783132
E9Q5G3	Q6QLM7	0.009697383283132532
E9Q5G3	Q9WV63	0.009262048192771086
E9Q612	B2GV87	0.017601656626506024
E9Q612	O08617	0.017507530120481927
E9Q612	P04157	0.015954442771084338
E9Q612	P20417	0.017366340361445784
E9Q612	P41499	0.015483810240963855
E9Q612	Q03348	0.01776637801204819
E9Q612	Q63259	0.011907003012048193
E9Q612	Q64604	0.019978350903614456
E9Q8D0	O35824	0.006814759036144579
E9Q8D0	P63036	0.007125376506024095
E9Q8D0	Q6TUG0	0.006814759036144579
E9QAG8	Q01714	0.006388365963855423
E9QAG8	Q02975	0.0328101468373494
E9QAG8	Q07120	0.012139752190580508
F6SEU4	P50904	0.01378953313253012
F6SEU4	P97526	0.008391378012048194
F6SEU4	Q9QUH6	0.24830572289156627
F6ZDS4	F1MA98	0.4364646084337349
F8VPU2	O35763	0.011859939759036145
F8VPU2	P31977	0.011671686746987951
F8VPU2	Q63648	0.011106927710843373
F8VPU2	Q9WTP0	0.024378765060240965
F8VPU2	Q9WVE9	0.0072665662650602415
F8VQB6	P02563	0.04292168674698795
F8VQB6	P70569	0.05280496987951807
F8VQB6	Q62812	0.043157003012048195
F8VQB6	Q63355	0.04725150602409638
F8VQB6	Q63357	0.04085090361445783
F8VQB6	Q63358	0.027508471385542167
F8VQB6	Q63862	0.04165097891566265
F8VQB6	Q9JLT0	0.04376882530120482
F8VQB6	Q9QYF3	0.050075301204819275
G3X9G7	Q01714	0.007304216867469879
G3X9G7	Q02975	0.015201430722891564
G3X9G7	Q07120	0.009362057605421687
G3X9J0	O35412	0.12678840361445784
G5E829	P06685	0.014311935240963854
G5E829	P06686	0.01736398719879518
G5E829	P06687	0.017933452560240964
G5E829	P11505	0.23559864457831325
G5E829	P11506	0.18491152108433734
G5E829	P11507	0.020649002259036146
G5E829	P18596	0.027720256024096387
G5E829	Q64542	0.16702748493975902
G5E829	Q64568	0.1811464608433735
G5E829	Q64578	0.026261295180722892
G5E870	F1LP64	0.39260165662650603
G5E8K5	O70511	0.1115085341365462
G5E8K5	P0C6S7	0.009337937688253008
G5E8K5	P62775	0.006089984939759037
G5E8K5	Q10728	0.008107560450133871
G5E8K5	Q2IBD4	0.008040756777108431
G5E8K5	Q63369	0.007862387048192771
G5E8K5	Q63746	0.006378012048192769
G5E8K5	Q8VHK2	0.009394505103748327
G5E8K5	Q99J82	0.00672016189759036
G5E8K5	Q9EQG6	0.014578574715528784
G5E8K5	Q9JLU4	0.007463559595524957
G5E8K5	Q9R186	0.006184111445783133
G5E8K5	Q9WV48	0.00775870408718206
O08528	P05708	0.09132624246987953
O08528	P27881	0.17658132530120482
O08529	Q07009	0.13384789156626506
O08529	Q641Z8	0.007756024096385543
O08529	Q64537	0.018166415662650603
O08530	P10608	0.006014683734939759
O08530	P14842	0.007501882530120482
O08530	P20272	0.01195406626506024
O08530	P25099	0.006904179216867469
O08530	P30543	0.008829066265060241
O08530	P61169	0.00675828313253012
O08532	P54290	0.20679593373493976
O08532	Q8CFG6	0.10885730421686747
O08537	P06211	0.043251129518072286
O08537	P06536	0.014966114457831326
O08537	P22449	0.012612951807228916
O08537	Q62986	0.09671498493975904
O08537	Q63503	0.0083019578313253
O08539	O08838	0.025649472891566265
O08539	O08839	0.11238704819277108
O08547	Q4KM74	0.04207454819277109
O08547	Q9JHW5	0.005835843373493976
O08553	P47942	0.11172816265060241
O08553	Q62950	0.08904367469879518
O08553	Q62951	0.08650225903614457
O08553	Q62952	0.08913780120481928
O08573	P11762	0.006673569277108434
O08580	P06211	0.02339043674698795
O08580	P06536	0.01586031626506024
O08580	P22449	0.014166039156626505
O08580	Q62986	0.020613704819277108
O08580	Q63503	0.00797957454819277
O08581	Q920B6	0.012612951807228916
O08581	Q9ES08	0.010871611445783132
O08582	P85834	0.008283132530120483
O08586	O54857	0.07925451807228916
O08586	P97874	0.01120105421686747
O08599	O08700	0.010353915662650603
O08599	P61765	0.11577560240963855
O08599	Q62991	0.006057040662650602
O08605	D3ZML2	0.01148343373493976
O08605	D4AE59	0.00913027108433735
O08605	E9PSL7	0.010259789156626505
O08605	F1LP90	0.008250188253012049
O08605	F1M0Z1	0.009836219879518071
O08605	F1M7Y5	0.009459713855421686
O08605	O08679	0.012942394578313253
O08605	O08815	0.008556099397590363
O08605	O08875	0.016519201807228916
O08605	O54874	0.00940323795180723
O08605	O88506	0.008358433734939759
O08605	O88764	0.014401355421686747
O08605	P05696	0.01011859939759036
O08605	P08413	0.016236822289156627
O08605	P09216	0.01011859939759036
O08605	P09217	0.00988328313253012
O08605	P11275	0.01614269578313253
O08605	P11730	0.01581325301204819
O08605	P15791	0.016472138554216868
O08605	P19139	0.007718373493975903
O08605	P21708	0.007379518072289157
O08605	P27791	0.011812876506024096
O08605	P35465	0.009116152108433735
O08605	P47196	0.010824548192771084
O08605	P49185	0.008358433734939759
O08605	P49186	0.008193712349397591
O08605	P49187	0.008123117469879518
O08605	P54645	0.010212725903614458
O08605	P63086	0.007464231927710843
O08605	P63319	0.01016566265060241
O08605	P67999	0.012142319277108434
O08605	P68182	0.011153990963855422
O08605	P68403	0.009742093373493976
O08605	P97756	0.010871611445783132
O08605	P97924	0.011248117469879517
O08605	Q06226	0.011012801204819277
O08605	Q09137	0.010777484939759037
O08605	Q62868	0.009238516566265061
O08605	Q62915	0.015201430722891566
O08605	Q62925	0.006381777108433735
O08605	Q63092	0.01378953313253012
O08605	Q63470	0.0061464608433734955
O08605	Q63531	0.01395425451807229
O08605	Q63538	0.00988328313253012
O08605	Q63638	0.008720820783132528
O08605	Q63699	0.007195971385542167
O08605	Q641Z4	0.0066876882530120495
O08605	Q7TT49	0.009553840361445784
O08605	Q810W7	0.008156061746987952
O08605	Q8VHF0	0.012330572289156627
O08605	Q91XS8	0.012754141566265061
O08605	Q9QY78	0.007431287650602409
O08605	Q9R012	0.010448042168674699
O08605	Q9Z2A6	0.00941265060240964
O08638	P02563	0.1199171686746988
O08638	P04462	0.007379518072289157
O08638	P70569	0.05327560240963856
O08638	Q62812	0.2710843373493976
O08638	Q63355	0.04198042168674699
O08638	Q63357	0.041745105421686746
O08638	Q63358	0.020994917168674698
O08638	Q63862	0.12165850903614459
O08638	Q9JLT0	0.2720726656626506
O08638	Q9QYF3	0.051487198795180725
O08641	P62994	0.00599585843373494
O08675	O08565	0.007247740963855422
O08675	P25095	0.00988328313253012
O08675	P30680	0.008499623493975905
O08675	P30937	0.008480798192771083
O08675	P33535	0.008264307228915664
O08675	P97639	0.00939382530120482
O08675	Q63645	0.019154743975903613
O08688	Q07009	0.032944277108433735
O08696	P0CF24	0.007323042168674698
O08696	P32182	0.007360692771084337
O08709	O35244	0.04019201807228916
O08709	P35704	0.007106551204819277
O08709	Q63716	0.007614834337349398
O08709	Q9Z0V5	0.00625
O08709	Q9Z0V6	0.006089984939759037
O08710	P06882	0.4868222891566265
O08710	P37136	0.021554969879518073
O08710	Q62765	0.017131024096385544
O08710	Q62888	0.017507530120481927
O08710	Q62889	0.018589984939759035
O08710	Q8K3R0	0.017083960843373495
O08715	O88884	0.14566076807228914
O08734	P49950	0.0062029367469879524
O08734	P53563	0.00705007530120482
O08736	P43527	0.02814382530120482
O08736	P55215	0.00941265060240964
O08736	Q920D5	0.07275978915662651
O08746	G3V928	0.00650414156626506
O08746	O70244	0.008583160768072291
O08746	Q9WVH8	0.010650021962851404
O08747	O08722	0.11403426204819277
O08747	O55005	0.007435993975903614
O08749	Q6P6R2	0.09544427710843373
O08756	O70351	0.046121987951807226
O08756	P97852	0.006184111445783133
O08756	Q6MGB5	0.009619728915662651
O08759	F1LP64	0.013836596385542169
O08785	O35800	0.011389307228915662
O08785	P41738	0.009742093373493976
O08785	P41739	0.012471762048192772
O08788	O55156	0.006960655120481927
O08788	P28023	0.23908132530120482
O08788	Q9JK25	0.007271272590361446
O08807	O35244	0.006325301204819277
O08807	P35704	0.027202560240963857
O08807	Q63716	0.027202560240963857
O08807	Q9Z0V5	0.05129894578313253
O08807	Q9Z0V6	0.025837725903614456
O08810	P05197	0.06066453313253012
O08849	O08774	0.00779367469879518
O08849	O70239	0.00677710843373494
O08849	O70521	0.011765813253012049
O08856	Q6P6T5	0.0076336596385542166
O08863	Q9R0I6	0.016175640060240963
O08900	Q01714	0.006184111445783133
O08900	Q02975	0.008223322979417672
O08900	Q07120	0.007517178087349395
O08908	Q63787	0.05761012801204819
O08911	D3ZML2	0.008753765060240963
O08911	D4AE59	0.00844785391566265
O08911	E9PSL7	0.0072665662650602415
O08911	F1LP90	0.009600903614457831
O08911	F1M7Y5	0.0062688253012048185
O08911	O08679	0.009280873493975904
O08911	O08815	0.00832078313253012
O08911	O08875	0.008918486445783132
O08911	O54874	0.006400602409638554
O08911	O88506	0.00779367469879518
O08911	O88764	0.008772590361445783
O08911	P05696	0.006739457831325301
O08911	P08413	0.009695030120481929
O08911	P09216	0.006344126506024097
O08911	P09217	0.006052334337349397
O08911	P11275	0.009167921686746988
O08911	P11345	0.0072853915662650605
O08911	P11730	0.009280873493975904
O08911	P15791	0.008989081325301206
O08911	P18265	0.01567206325301205
O08911	P19139	0.012801204819277108
O08911	P21708	0.028237951807228916
O08911	P27791	0.007906626506024096
O08911	P32577	0.007106551204819277
O08911	P35465	0.00988328313253012
O08911	P36506	0.007417168674698795
O08911	P47196	0.008480798192771083
O08911	P49185	0.0313441265060241
O08911	P49186	0.03125
O08911	P49187	0.031532379518072286
O08911	P54645	0.009064382530120482
O08911	P63086	0.027955572289156627
